Accession	Organism_Name	Species	Pangolin	PangoVersions	Genotype	Isolate	Length	Nuc_Completeness	Geo_Location	Country	Host	Organization	Org_location	Collection_Date	Molecule_type
OR889556	Severe acute respiratory syndrome coronavirus 2	Betacoronavirus pandemicum	BA.5.3.1	4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6		BD_IVPP_290	29723	partial	Bangladesh: Dhaka	Bangladesh	Homo sapiens	Institute for developing Science and Health initiatives, ideSHi, Genomics and Bioinformatics	Bangladesh	2022-06-20	ssRNA(+)
OR889557	Severe acute respiratory syndrome coronavirus 2	Betacoronavirus pandemicum	BE.4	4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6		BD_IVPP_291	29723	partial	Bangladesh: Dhaka	Bangladesh	Homo sapiens	Institute for developing Science and Health initiatives, ideSHi, Genomics and Bioinformatics	Bangladesh	2022-06-23	ssRNA(+)
OR889558	Severe acute respiratory syndrome coronavirus 2	Betacoronavirus pandemicum	BE.4	4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6		BD_IVPP_292	29723	partial	Bangladesh: Dhaka	Bangladesh	Homo sapiens	Institute for developing Science and Health initiatives, ideSHi, Genomics and Bioinformatics	Bangladesh	2022-06-24	ssRNA(+)
OR889559	Severe acute respiratory syndrome coronavirus 2	Betacoronavirus pandemicum	BE.4	4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6		BD_IVPP_293	29723	partial	Bangladesh: Dhaka	Bangladesh	Homo sapiens	Institute for developing Science and Health initiatives, ideSHi, Genomics and Bioinformatics	Bangladesh	2022-06-25	ssRNA(+)
OR889560	Severe acute respiratory syndrome coronavirus 2	Betacoronavirus pandemicum	BE.4	4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6		BD_IVPP_294	29723	partial	Bangladesh: Dhaka	Bangladesh	Homo sapiens	Institute for developing Science and Health initiatives, ideSHi, Genomics and Bioinformatics	Bangladesh	2022-06-26	ssRNA(+)
OR889561	Severe acute respiratory syndrome coronavirus 2	Betacoronavirus pandemicum	BE.4	4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6		BD_IVPP_296	29723	partial	Bangladesh: Dhaka	Bangladesh	Homo sapiens	Institute for developing Science and Health initiatives, ideSHi, Genomics and Bioinformatics	Bangladesh	2022-06-29	ssRNA(+)
OR889562	Severe acute respiratory syndrome coronavirus 2	Betacoronavirus pandemicum	BE.4	4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6		BD_IVPP_297	29723	partial	Bangladesh: Dhaka	Bangladesh	Homo sapiens	Institute for developing Science and Health initiatives, ideSHi, Genomics and Bioinformatics	Bangladesh	2022-06-30	ssRNA(+)
OR889563	Severe acute respiratory syndrome coronavirus 2	Betacoronavirus pandemicum	BE.4	4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6		BD_IVPP_298	29723	partial	Bangladesh: Dhaka	Bangladesh	Homo sapiens	Institute for developing Science and Health initiatives, ideSHi, Genomics and Bioinformatics	Bangladesh	2022-07-02	ssRNA(+)
OR889564	Severe acute respiratory syndrome coronavirus 2	Betacoronavirus pandemicum	BA.5.2	4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6		BD_IVPP_299	29719	partial	Bangladesh: Dhaka	Bangladesh	Homo sapiens	Institute for developing Science and Health initiatives, ideSHi, Genomics and Bioinformatics	Bangladesh	2022-07-03	ssRNA(+)
OR889565	Severe acute respiratory syndrome coronavirus 2	Betacoronavirus pandemicum	BA.5.3.1	4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6		BD_IVPP_300	29723	partial	Bangladesh: Dhaka	Bangladesh	Homo sapiens	Institute for developing Science and Health initiatives, ideSHi, Genomics and Bioinformatics	Bangladesh	2022-07-04	ssRNA(+)
OR889566	Severe acute respiratory syndrome coronavirus 2	Betacoronavirus pandemicum	BA.2	4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6		BD_B_220118_239	29729	partial	Bangladesh: Chattogram	Bangladesh	Homo sapiens	Institute for developing Science and Health initiatives, ideSHi, Genomics and Bioinformatics	Bangladesh	2022-01-18	ssRNA(+)
OR889568	Severe acute respiratory syndrome coronavirus 2	Betacoronavirus pandemicum	BA.5.2	4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6		BD_B_220613_41	29719	partial	Bangladesh: Chattogram	Bangladesh	Homo sapiens	Institute for developing Science and Health initiatives, ideSHi, Genomics and Bioinformatics	Bangladesh	2022-06-13	ssRNA(+)
OR889569	Severe acute respiratory syndrome coronavirus 2	Betacoronavirus pandemicum	BA.1.1	4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6		BD_B_220118_269	29746	partial	Bangladesh: Chattogram	Bangladesh	Homo sapiens	Institute for developing Science and Health initiatives, ideSHi, Genomics and Bioinformatics	Bangladesh	2022-01-18	ssRNA(+)
OR889570	Severe acute respiratory syndrome coronavirus 2	Betacoronavirus pandemicum	BA.1.1	4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6		BD_B_220109_357	29746	partial	Bangladesh: Chattogram	Bangladesh	Homo sapiens	Institute for developing Science and Health initiatives, ideSHi, Genomics and Bioinformatics	Bangladesh	2022-01-09	ssRNA(+)
OR889571	Severe acute respiratory syndrome coronavirus 2	Betacoronavirus pandemicum	BA.2.10	4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6		BD_B_220107_01	29729	partial	Bangladesh: Chattogram	Bangladesh	Homo sapiens	Institute for developing Science and Health initiatives, ideSHi, Genomics and Bioinformatics	Bangladesh	2022-01-07	ssRNA(+)
OR889575	Severe acute respiratory syndrome coronavirus 2	Betacoronavirus pandemicum	BA.5.3.1	4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6		BD_B_220613_36	29723	partial	Bangladesh: Chattogram	Bangladesh	Homo sapiens	Institute for developing Science and Health initiatives, ideSHi, Genomics and Bioinformatics	Bangladesh	2022-06-13	ssRNA(+)
OR889576	Severe acute respiratory syndrome coronavirus 2	Betacoronavirus pandemicum	BA.2	4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6		BD_B_220507_01	29729	partial	Bangladesh: Chattogram	Bangladesh	Homo sapiens	Institute for developing Science and Health initiatives, ideSHi, Genomics and Bioinformatics	Bangladesh	2022-05-07	ssRNA(+)
OR889578	Severe acute respiratory syndrome coronavirus 2	Betacoronavirus pandemicum	BA.2	4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6		BD_B_220111_03	29729	partial	Bangladesh: Chattogram	Bangladesh	Homo sapiens	Institute for developing Science and Health initiatives, ideSHi, Genomics and Bioinformatics	Bangladesh	2022-01-11	ssRNA(+)
OR889579	Severe acute respiratory syndrome coronavirus 2	Betacoronavirus pandemicum	BA.5.2	4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6		BD_B_220610_04	29719	partial	Bangladesh: Chattogram	Bangladesh	Homo sapiens	Institute for developing Science and Health initiatives, ideSHi, Genomics and Bioinformatics	Bangladesh	2022-06-10	ssRNA(+)
OR889580	Severe acute respiratory syndrome coronavirus 2	Betacoronavirus pandemicum	BA.2	4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6		BD_B_220309_04	29729	partial	Bangladesh: Chattogram	Bangladesh	Homo sapiens	Institute for developing Science and Health initiatives, ideSHi, Genomics and Bioinformatics	Bangladesh	2022-03-09	ssRNA(+)
OR889581	Severe acute respiratory syndrome coronavirus 2	Betacoronavirus pandemicum	BA.2	4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6		BD_B_220215_349	29729	partial	Bangladesh: Chattogram	Bangladesh	Homo sapiens	Institute for developing Science and Health initiatives, ideSHi, Genomics and Bioinformatics	Bangladesh	2022-02-15	ssRNA(+)
OR889589	Severe acute respiratory syndrome coronavirus 2	Betacoronavirus pandemicum	BE.4	4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6		BD_IVPP_286	29723	partial	Bangladesh: Dhaka	Bangladesh	Homo sapiens	Institute for developing Science and Health initiatives, ideSHi, Genomics and Bioinformatics	Bangladesh	2022-06-13	ssRNA(+)
OR889590	Severe acute respiratory syndrome coronavirus 2	Betacoronavirus pandemicum	BE.4	4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6		BD_IVPP_287	29723	partial	Bangladesh: Dhaka	Bangladesh	Homo sapiens	Institute for developing Science and Health initiatives, ideSHi, Genomics and Bioinformatics	Bangladesh	2022-06-14	ssRNA(+)
OR889591	Severe acute respiratory syndrome coronavirus 2	Betacoronavirus pandemicum	BE.4	4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6		BD_IVPP_295	29723	partial	Bangladesh: Dhaka	Bangladesh	Homo sapiens	Institute for developing Science and Health initiatives, ideSHi, Genomics and Bioinformatics	Bangladesh	2022-06-29	ssRNA(+)
OR889592	Severe acute respiratory syndrome coronavirus 2	Betacoronavirus pandemicum	BA.1.1	4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6		BD_B_220103_03	29746	partial	Bangladesh: Chattogram	Bangladesh	Homo sapiens	Institute for developing Science and Health initiatives, ideSHi, Genomics and Bioinformatics	Bangladesh	2022-01-03	ssRNA(+)
OR775439	Severe acute respiratory syndrome coronavirus 2	Betacoronavirus pandemicum	BA.1.1	4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6		B_220118_269.fasta	29743	partial	Bangladesh	Bangladesh	Homo sapiens	institute for developing Science and Health initiatives, ideSHi, Genomics and Bioinformatics	Bangladesh	2022-01-18	ssRNA(+)
OR775440	Severe acute respiratory syndrome coronavirus 2	Betacoronavirus pandemicum	BA.2	4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6		B_220111_03.fasta	29731	partial	Bangladesh	Bangladesh	Homo sapiens	institute for developing Science and Health initiatives, ideSHi, Genomics and Bioinformatics	Bangladesh	2022-01-11	ssRNA(+)
OR775441	Severe acute respiratory syndrome coronavirus 2	Betacoronavirus pandemicum	BA.5.2	4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6		B_220610_04.fasta	29746	partial	Bangladesh	Bangladesh	Homo sapiens	institute for developing Science and Health initiatives, ideSHi, Genomics and Bioinformatics	Bangladesh	2022-06-10	ssRNA(+)
OR775446	Severe acute respiratory syndrome coronavirus 2	Betacoronavirus pandemicum	BA.2.10.1	4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6		B_220113_03.fasta	29750	partial	Bangladesh	Bangladesh	Homo sapiens	institute for developing Science and Health initiatives, ideSHi, Genomics and Bioinformatics	Bangladesh	2022-01-13	ssRNA(+)
OR775447	Severe acute respiratory syndrome coronavirus 2	Betacoronavirus pandemicum	BA.2.10.1	4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6		B_220123_60.fasta	29751	partial	Bangladesh	Bangladesh	Homo sapiens	institute for developing Science and Health initiatives, ideSHi, Genomics and Bioinformatics	Bangladesh	2022-01-23	ssRNA(+)
OR775448	Severe acute respiratory syndrome coronavirus 2	Betacoronavirus pandemicum	BA.1.1	4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6		B_220125_93.fasta	29775	complete	Bangladesh	Bangladesh	Homo sapiens	institute for developing Science and Health initiatives, ideSHi, Genomics and Bioinformatics	Bangladesh	2022-01-25	ssRNA(+)
OR775449	Severe acute respiratory syndrome coronavirus 2	Betacoronavirus pandemicum	BA.2	4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6		B_220203_164.fasta	29752	complete	Bangladesh	Bangladesh	Homo sapiens	institute for developing Science and Health initiatives, ideSHi, Genomics and Bioinformatics	Bangladesh	2022-02-03	ssRNA(+)
OR775454	Severe acute respiratory syndrome coronavirus 2	Betacoronavirus pandemicum	BA.2.10	4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6		B_220205_325.fasta	29780	partial	Bangladesh	Bangladesh	Homo sapiens	institute for developing Science and Health initiatives, ideSHi, Genomics and Bioinformatics	Bangladesh	2022-02-05	ssRNA(+)
OR729847	Severe acute respiratory syndrome coronavirus 2	Betacoronavirus pandemicum	BA.2.10	4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6		IVPP_264.fasta	29810	complete	Bangladesh: Dhaka	Bangladesh	Homo sapiens	Institute for developing Science and Health initiatives, ideSHi, Genomics and Bioinformatics	Bangladesh	2022-02-07	ssRNA(+)
OR729848	Severe acute respiratory syndrome coronavirus 2	Betacoronavirus pandemicum	BA.2	4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6		IVPP_267.fasta	29735	complete	Bangladesh: Dhaka	Bangladesh	Homo sapiens	Institute for developing Science and Health initiatives, ideSHi, Genomics and Bioinformatics	Bangladesh	2022-01-20	ssRNA(+)
OR729849	Severe acute respiratory syndrome coronavirus 2	Betacoronavirus pandemicum	BE.4	4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6		IVPP_285.fasta	29747	partial	Bangladesh: Dhaka	Bangladesh	Homo sapiens	Institute for developing Science and Health initiatives, ideSHi, Genomics and Bioinformatics	Bangladesh	2022-06-13	ssRNA(+)
OR729850	Severe acute respiratory syndrome coronavirus 2	Betacoronavirus pandemicum	BE.4	4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6		IVPP_286.fasta	29728	complete	Bangladesh: Dhaka	Bangladesh	Homo sapiens	Institute for developing Science and Health initiatives, ideSHi, Genomics and Bioinformatics	Bangladesh	2022-06-13	ssRNA(+)
OR729851	Severe acute respiratory syndrome coronavirus 2	Betacoronavirus pandemicum	BE.4	4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6		IVPP_287.fasta	29725	complete	Bangladesh: Dhaka	Bangladesh	Homo sapiens	Institute for developing Science and Health initiatives, ideSHi, Genomics and Bioinformatics	Bangladesh	2022-06-14	ssRNA(+)
OR729852	Severe acute respiratory syndrome coronavirus 2	Betacoronavirus pandemicum	B.1.1.25	4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6		IVPP_238.fasta	29784	complete	Bangladesh: Dhaka	Bangladesh	Homo sapiens	Institute for developing Science and Health initiatives, ideSHi, Genomics and Bioinformatics	Bangladesh	2022-12-08	ssRNA(+)
OR729853	Severe acute respiratory syndrome coronavirus 2	Betacoronavirus pandemicum	BA.5.1	4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6		IVPP_289.fasta	29751	partial	Bangladesh: Dhaka	Bangladesh	Homo sapiens	Institute for developing Science and Health initiatives, ideSHi, Genomics and Bioinformatics	Bangladesh	2022-06-20	ssRNA(+)
OR729855	Severe acute respiratory syndrome coronavirus 2	Betacoronavirus pandemicum	BE.4	4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6		B_220613_36.fasta	29749	partial	Bangladesh: Chattogram	Bangladesh	Homo sapiens	Institute for developing Science and Health initiatives, ideSHi, Genomics and Bioinformatics	Bangladesh	2022-06-13	ssRNA(+)
OR729856	Severe acute respiratory syndrome coronavirus 2	Betacoronavirus pandemicum	BA.2	4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6		B_220118_239.fasta	29732	partial	Bangladesh: Chattogram	Bangladesh	Homo sapiens	Institute for developing Science and Health initiatives, ideSHi, Genomics and Bioinformatics	Bangladesh	2022-01-18	ssRNA(+)
OR729858	Severe acute respiratory syndrome coronavirus 2	Betacoronavirus pandemicum	BA.5.2	4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6		B_220612_03.fasta	29720	partial	Bangladesh: Chattogram	Bangladesh	Homo sapiens	Institute for developing Science and Health initiatives, ideSHi, Genomics and Bioinformatics	Bangladesh	2022-06-12	ssRNA(+)
OR729859	Severe acute respiratory syndrome coronavirus 2	Betacoronavirus pandemicum	BA.2.10	4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6		B_220107_01.fasta	29736	partial	Bangladesh: Chattogram	Bangladesh	Homo sapiens	Institute for developing Science and Health initiatives, ideSHi, Genomics and Bioinformatics	Bangladesh	2022-01-07	ssRNA(+)
OR729860	Severe acute respiratory syndrome coronavirus 2	Betacoronavirus pandemicum	BA.2	4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6		B_220507_01.fasta	29780	partial	Bangladesh: Chattogram	Bangladesh	Homo sapiens	Institute for developing Science and Health initiatives, ideSHi, Genomics and Bioinformatics	Bangladesh	2022-05-07	ssRNA(+)
OR729864	Severe acute respiratory syndrome coronavirus 2	Betacoronavirus pandemicum	BA.2	4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6		B_220309_04.fasta	29731	partial	Bangladesh: Chattogram	Bangladesh	Homo sapiens	Institute for developing Science and Health initiatives, ideSHi, Genomics and Bioinformatics	Bangladesh	2022-03-09	ssRNA(+)
OR729881	Severe acute respiratory syndrome coronavirus 2	Betacoronavirus pandemicum	BA.2	4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6		B_220208_95.fasta	29763	complete	Bangladesh: Chattogram	Bangladesh	Homo sapiens	Institute for developing Science and Health initiatives, ideSHi, Genomics and Bioinformatics	Bangladesh	2022-02-08	ssRNA(+)
OR729882	Severe acute respiratory syndrome coronavirus 2	Betacoronavirus pandemicum	BA.2	4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6		B_220205_390.fasta	29757	partial	Bangladesh: Chattogram	Bangladesh	Homo sapiens	Institute for developing Science and Health initiatives, ideSHi, Genomics and Bioinformatics	Bangladesh	2022-02-05	ssRNA(+)
OR729883	Severe acute respiratory syndrome coronavirus 2	Betacoronavirus pandemicum	BA.5.2	4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6		B_220305_22.fasta	29779	partial	Bangladesh: Chattogram	Bangladesh	Homo sapiens	Institute for developing Science and Health initiatives, ideSHi, Genomics and Bioinformatics	Bangladesh	2022-03-05	ssRNA(+)
OR729884	Severe acute respiratory syndrome coronavirus 2	Betacoronavirus pandemicum	AY.131	4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6		IVPP_040.fasta	29801	partial	Bangladesh: Dhaka	Bangladesh	Homo sapiens	Institute for developing Science and Health initiatives, ideSHi, Genomics and Bioinformatics	Bangladesh	2022-08-01	ssRNA(+)
OR729886	Severe acute respiratory syndrome coronavirus 2	Betacoronavirus pandemicum	BA.2.10	4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6		B_220609_14.fasta	29772	complete	Bangladesh: Chattogram	Bangladesh	Homo sapiens	Institute for developing Science and Health initiatives, ideSHi, Genomics and Bioinformatics	Bangladesh	2022-06-09	ssRNA(+)
OR098782	Severe acute respiratory syndrome coronavirus 2	Betacoronavirus pandemicum	FL.4	4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6		SIRS_EPI_ISL_16528802	29721	partial	Bangladesh: Dhaka	Bangladesh	Homo sapiens	institute for developing Science and Health initiatives, ideSHi, Genomics and Bioinformatics	Bangladesh	2023-01-07	ssRNA(+)
OR098783	Severe acute respiratory syndrome coronavirus 2	Betacoronavirus pandemicum	XBB.1	4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6		SIRS_EPI_ISL_17719185	29721	partial	Bangladesh: Dhaka	Bangladesh	Homo sapiens	institute for developing Science and Health initiatives, ideSHi, Genomics and Bioinformatics	Bangladesh	2023-05-15	ssRNA(+)
OR098784	Severe acute respiratory syndrome coronavirus 2	Betacoronavirus pandemicum	XBB.2.3.20	4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6		SIRS_EPI_ISL_17719186	29718	partial	Bangladesh: Dhaka	Bangladesh	Homo sapiens	institute for developing Science and Health initiatives, ideSHi, Genomics and Bioinformatics	Bangladesh	2023-05-17	ssRNA(+)
